Marca temporal;Institución;Unidad;Nombre Instrumento (Ej: Innovación Nacional);Nombre convocatoria (Ej: Innovación Nacional Region Metropolitana);URL;Descripción corta (Máximo 180 caracteres);Descripción larga ;Apoyo;Público;Requisitos;Permanente;Fecha Apertura (Sólo si no es permanente);Fecha Cierre (Sólo si no es permanente);Emergencias (¿La convocatoria nace de una catástrofe?);Región;Temática;Tributación;Etapa;Beneficio;Sexo registral;Tipo persona;Tamaño ventas;Rubro
7-28-2025 15:05:47;Agencia de Sustentabilidad y Cambio Climático ;Subdirección de Producción Sustentable;Fondo de Producción Limpia;Fondo de Producción Limpia;https://www.ascc.cl/pagina/fondo_de_produccion_limpia;Apoyar a las empresas, a través de cofinanciamiento, en la implementación de la Producción Limpia, buscando aumentar su eficiencia y minimizando sus impactos en el medio ambiente.;El Fondo de Promoción de Producción Limpia (Fondo PL), es una iniciativa de la Agencia de Sustentabilidad y Cambio Climático (ASCC), que tiene por finalidad apoyar a las empresas, a través de sus organizaciones, en la implementación de Producción Limpia.;"Apoyo técnico y financiero para proyectos que promuevan la aplicación de producción limpia en sectores o subsectores productivos. El Fondo PL contempla cuatro líneas destinadas a cofinanciar proyectos en las siguientes modalidades: Acuerdo de Producción Limpia (APL); Capacitaciones; Misiones; Difusión;";Asociaciones  Gremiales, Consorcio de empresas, Corporaciones de Derecho Público o Privado, Fundaciones, Organizaciones Sindicales y otras instituciones con personalidad jurídica que tienen por objetivo el desarrollo de un sector o subsector económico.;"La diversidad de proyectos postulables a las distintas Líneas de Cofinanciamiento del Fondo involucran Entidades Participantes que cumplen diversos roles dentro de cada proyecto, y respecto de las que se exigen distintos requisitos durante el proceso de postulación y ejecución del proyecto.  
Entidades Participantes que pueden coexistir dentro de un proyecto, el rol que cumplen y los requisitos que respecto de cada una deben cumplirse al presentar una postulación; a Institución Receptora del Cofinanciamiento, es aquella que recibe y administra los fondos otorgados por la Agencia y, por ello, es la responsable de la ejecución del proyecto. 
Ejecutora: Es aquella institución o persona natural que posee capacidades técnicas necesarias y complementarias para la ejecución de actividades y elaboración de productos contemplados en el proyecto.  Ver Bases en https://www.ascc.cl/resources/uploads/documentos/bases_administrativas_del_fondo_de_produccio%CC%81n_limpia.pdf";Sí;;;No;Nacional;Asociaciones y Redes, Sustentabilidad;Primera categoría;Mejora tu gestión, Crece;;;;;
7-28-2025 15:10:02;Corfo;Innovación;ANILLOS INDUSTRIALES PARA EL FOMENTO A LA DEMANDA DE HIDRÓGENO VERDE Y SUS DERIVADOS, Y ENCADENAMIENTO PRODUCTIVO;ANILLOS INDUSTRIALES PARA EL FOMENTO A LA DEMANDA DE HIDRÓGENO VERDE Y SUS DERIVADOS, Y ENCADENAMIENTO PRODUCTIVO EN LA REGIÓN DEL BIOBÍO;https://corfo.cl/sites/cpp/convocatoria/anillos-industriales-fomento-encadenamiento-productivo-biobio/;Financiamiento para impulsar demanda de hidrógeno verde y encadenamientos industriales.;Convocatoria regional del Plan de Fortalecimiento Industrial del Biobío que busca acelerar la demanda de hidrógeno verde y sus derivados, promover encadenamientos productivos, alianzas industriales y transferencia tecnológica para empresas y clusters de la zona. Financiamiento cubre hasta 60 % del costo del proyecto, con tope de USD 5 M y plazo de ejecución de hasta 6 años.;Subsidio para proyectos de inversión y desarrollo tecnológico;Empresas, instituciones o consorcios vinculados a la industria, especialmente sector hidrógeno verde y energía;"Constituir consorcio o alianza industrial regional
Propuesta alineada con demanda hidrógeno verde en Biobío
Transferencia tecnológica e innovación productiva
Capacidad de ejecución y sostenibilidad del proyecto";No;22-04-2025;21-08-2025;No;Bíobío;Innovación, Inversión;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Mediana, Gran;Suministro de electricidad, gas, vapor y aire acondicionado
7-28-2025 15:55:57;Corfo;Desarrollo Territorial;BIENES PÚBLICOS – 1° CONVOCATORIA 2025;BIENES PÚBLICOS – REGIÓN DE ARICA Y PARINACOTA – 1° CONVOCATORIA 2025;https://corfo.cl/sites/cpp/convocatoria/bienes-publicos-arica-y-parinacota-1ra-convocatoria-2025/;Apoya proyectos que resuelvan fallas de mercado o coordinen decisiones productivas en región;Cofinancia estudios, plataformas o iniciativas que aborden asimetrías de información o coordinación productiva, fortaleciendo competitividad en territorios locales;Subsidio;Personas jurídicas constituidas en Chile, en consorcio con entidades públicas o gremiales;"Persona jurídica chilena
Proyecto con al menos un mandante externo (ministerios, municipalidades, gremios, etc.)
Alineación con estrategia productiva regional";No;15-05-2025;10-07-2025;No;Arica y Parinacota;Gestión Empresarial;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-28-2025 16:06:06;Corfo;Desarrollo Territorial;BIENES PÚBLICOS – 1° CONVOCATORIA 2025;BIENES PÚBLICOS – REGIÓN DE LA ARAUCANÍA – 1° CONVOCATORIA 2025;https://corfo.cl/sites/cpp/convocatoria/bienes-publicos-la-araucania-1ra-convocatoria-2025/;Financia proyectos que aborden fallas de coordinación e información regional.;Subsidia estudios, plataformas o iniciativas que resuelvan asimetrías de mercado o coordinación productiva, con impacto regional y participación de mandantes externos. Cofinancia hasta 85% del costo total.;Subsidio;Personas jurídicas constituidas en Chile, en consorcio con mandantes públicos o gremiales;"Persona jurídica chilena
Postular en consorcio con al menos un mandante externo (gobierno, gremio, municipalidad, etc.)
Alinearse con estrategia productiva regional";No;15-05-2025;10-07-2025;No;La Araucanía;Gestión Empresarial;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-29-2025 20:26:43;Corfo;Desarrollo Territorial;BIENES PÚBLICOS – 1° CONVOCATORIA 2025;BIENES PÚBLICOS – REGIÓN DEL MAULE – 1° CONVOCATORIA 2025;https://corfo.cl/sites/cpp/convocatoria/bienes-publicos-maule-1ra-convocatoria-2025/;Cofinancia proyectos que resuelvan asimetrías de mercado y coordinación productiva en Maule.;Convocatoria regional para financiar estudios, plataformas o iniciativas que abordan fallas de mercado, información o coordinación productiva. Cofinancia hasta 85 % del costo de proyectos con un tope de $120 millones y generación de bienes públicos para fortalecer competitividad regional.;Subsidio;Personas jurídicas constituidas y que postulen en consorcio con mandante externo (Gobierno, gremios, municipios, etc.);"Ser persona jurídica chilena
Postular junto a al menos un mandante externo (ministerio, municipalidad, agencia, gremio, etc.)
Proyecto alineado con estrategia productiva regional";No;15-05-2025;10-07-2025;No;Maule;Gestión Empresarial;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-29-2025 20:32:46;Corfo;Desarrollo Territorial;BIENES PÚBLICOS – 1° CONVOCATORIA 2025;BIENES PÚBLICOS – REGIÓN METROPOLITANA – 1° CONVOCATORIA 2025;https://corfo.cl/sites/cpp/convocatoria/bienes-publicos-metropolitana-1ra-convocatoria-2025/;Generación de soluciones a fallas de mercado en Metropolitana;Convocatoria regional para financiar iniciativas que resuelvan brechas de información, coordinación o infraestructura, con enfoque en desafíos definidos en la estrategia de desarrollo sostenible regional. Subsidia estudios, plataformas, capacitación y plataformas para acelerar competitividad.;Subsidio;Personas jurídicas constituidas en Chile, en consorcio con mandantes externos (Municipalidades, gremios, ministerios, etc.);"Persona jurídica chilena
Postulación en consorcio con mandante externo
Alineación con estrategia productiva regional";No;15-05-2025;10-07-2025;No;Metropolitana;Gestión Empresarial, Sustentabilidad;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-29-2025 20:47:22;Corfo;Innovación;Consorcios Tecnológicos 2025;Consorcios Tecnológicos 2025;https://corfo.cl/sites/cpp/convocatoria/consorcios_tecnologicos_2025/;Cofinancia consorcios I+D de largo plazo entre empresas.;Promueve proyectos de I+D, generando valor al alinear necesidades del mercado con soluciones tecnológicas mediante consorcios dinámicos. Plazo de ejecución de hasta 6 años.;Subsidio de proyectos de I+D+i;Personas jurídicas constituidas en Chile (privadas con fines de lucro o empresas del Estado);"Persona jurídica chilena
Capacidad técnica, de gestión y transferencia tecnológica
Contar con capital humano especializado
Experiencia en proyectos tecnológicos
Referencia tecnológica en sector productivo
Al menos 30% de cofinanciamiento pecuniario";No;30-04-2025;19-08-2025;No;Nacional;Innovación;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-29-2025 20:55:41;Corfo;Innovación;Crea y Valida – ZIM;Crea y Valida – ZIM;https://corfo.cl/sites/cpp/convocatoria/crea_valida_zim/;Cofinancia I+D+I colaborativo Chile–Alemania;Convocatoria conjunta Corfo–ZIM (Alemania) para proyectos colaborativos de I+D+I entre empresas chilenas y alemanas, apoyando desarrollo de prototipos hasta validación técnica/comercial.;Subsidio a proyectos de I+D+i;Empresas chilenas (personas jurídicas) en consorcio con empresas alemanas;"Persona jurídica chilena sin vinculación societaria con beneficiario externo
Proyecto colaborativo con empresa alemana
Capacidad técnica, capital humano y transferencia tecnológica
Cofinanciamiento mínimo: 30% costo del proyecto
Al menos fase 3 cumpla prototipo o validación técnica";No;18-03-2025;03-07-2025;No;Nacional;Tecnología y Digitalización, Innovación;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Mediana, Gran;Todos
7-29-2025 21:03:52;Corfo;Innovación;Crea y Valida-Eureka;Crea y Valida-Eureka;https://corfo.cl/sites/cpp/convocatoria/crea_valida_eureka/;Cofinancia I+D+I colaborativo internacional;Apoyos a proyectos de I+D+I desde prototipo hasta validación técnica o comercial en consorcios internacionales en la red Eureka. Subsidio hasta CLP 220 M según ventas, con fases diferenciadas y cofinanciamiento mínimo del 30%;Subsidio para proyectos de I+D+i;Empresas (personas jurídicas) chilenas en consorcio con empresa de otro país Eureka;"Persona jurídica chilena con actividad 1ª categoría por al menos 24 meses
Ventas en últimos 24 meses
Consorcio con empresa Eureka sin vínculo societario
Proyecto I+D+i con prototipo/validación";Sí;;;No;Nacional;Tecnología y Digitalización, Innovación;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Sin tamaño definido;Todos
7-29-2025 21:13:25;Corfo;Desarrollo Territorial;CREACIÓN DE UN CENTRO TECNOLÓGICO DE MANUFACTURA AVANZADA E INDUSTRIA 4.0;CREACIÓN DE UN CENTRO TECNOLÓGICO DE MANUFACTURA AVANZADA E INDUSTRIA 4.0, EN LA REGIÓN DEL BIOBÍO;https://corfo.cl/sites/cpp/convocatoria/centro-tecnologico-manufactura-avanzada-industria-biobio-2025/;Financiamiento para instalación de centro de manufactura avanzada e Industria;Convocatoria para crear un Centro Tecnológico regional que potencie la manufactura avanzada e innovación en Biobío, mediante infraestructura, capital humano y servicios especializados, con asignación de $8.630 M en 10 años.;Subsidio de inversión en infraestructura, equipamiento y capital humano;Instituciones públicas, privadas o mixtas con capacidad técnico‑científica, en alianza con empresas regionales;"Participación en consorcio o como entidad habilitada
Capacidad técnica y de gestión demostrable
Plan de sostenibilidad y operación continua";No;04-07-2025;30-09-2025;No;Bíobío;Innovación, Inversión;Primera categoría;Mejora tu gestión, Crece;Subsidio;Masculino, Femenino;Jurídica;Mediana, Gran;Industrias manufactureras
